latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_t31,frp,daynight,type
-2.01832,101.05003,327.25,0.54,0.68,2025-08-04,726,N20,VIIRS,n,2,284.64,3.42,D,0.0
-4.31509,119.84067,330.62,0.54,0.42,2025-08-04,545,N20,VIIRS,n,2,295.87,5.18,D,0.0
-2.35537,119.59499,332.11,0.56,0.43,2025-08-04,545,N20,VIIRS,n,2,295.12,6.45,D,0.0
0.58488,116.75474,341.15,0.43,0.38,2025-08-04,546,N20,VIIRS,n,2,296.01,7.2,D,0.0
0.76944,117.52583,332.51,0.47,0.4,2025-08-04,546,N20,VIIRS,n,2,293.49,3.65,D,0.0
0.99478,116.85777,344.12,0.44,0.38,2025-08-04,546,N20,VIIRS,n,2,295.71,12.26,D,0.0
0.98006,116.68778,337.19,0.43,0.38,2025-08-04,546,N20,VIIRS,n,2,293.46,3.56,D,0.0
1.06483,117.17924,333.14,0.46,0.39,2025-08-04,546,N20,VIIRS,n,2,292.58,4.19,D,0.0
1.0387,116.79093,335.78,0.44,0.38,2025-08-04,546,N20,VIIRS,n,2,294.89,9.42,D,0.0
-2.83324,101.55448,327.83,0.57,0.69,2025-08-04,726,N20,VIIRS,n,2,286.7,6.45,D,0.0
1.34383,116.68131,340.01,0.44,0.38,2025-08-04,546,N20,VIIRS,n,2,295.53,28.56,D,0.0
1.35958,116.66691,344.81,0.44,0.38,2025-08-04,546,N20,VIIRS,n,2,298.27,10.22,D,0.0
-0.56429,102.64728,330.22,0.59,0.7,2025-08-04,546,N20,VIIRS,n,2,281.94,9.4,D,0.0
-1.57337,103.69241,325.98,0.51,0.66,2025-08-04,546,N20,VIIRS,n,2,281.27,4.11,D,0.0
2.78637,117.31739,332.82,0.48,0.4,2025-08-04,547,N20,VIIRS,n,2,292.91,4.93,D,0.0
2.78587,117.31876,333.08,0.48,0.4,2025-08-04,547,N20,VIIRS,n,2,293.36,5.44,D,0.0
2.79019,117.32252,331.16,0.48,0.4,2025-08-04,547,N20,VIIRS,n,2,293.24,5.44,D,0.0
3.07526,116.33966,334.48,0.44,0.38,2025-08-04,547,N20,VIIRS,n,2,283.43,5.58,D,0.0
2.70705,117.6572,340.5,0.5,0.41,2025-08-04,547,N20,VIIRS,n,2,294.64,30.38,D,0.0
1.35607,116.66744,330.68,0.44,0.38,2025-08-04,546,N20,VIIRS,n,2,297.53,4.75,D,0.0
-9.68477,120.37325,338.23,0.49,0.41,2025-08-04,543,N20,VIIRS,n,2,304.76,5.15,D,0.0
-4.44342,121.71944,312.12,0.51,0.49,2025-08-04,1647,N20,VIIRS,n,2,289.01,1.3,N,0.0
-9.77901,119.82104,343.7,0.46,0.39,2025-08-04,543,N20,VIIRS,n,2,298.73,7.91,D,0.0
-8.29897,130.81247,329.8,0.49,0.65,2025-08-04,403,N20,VIIRS,n,2,291.55,6.41,D,0.0
-4.2145,140.31392,332.25,0.39,0.36,2025-08-04,403,N20,VIIRS,n,2,298.0,3.15,D,0.0
-4.16391,138.95912,333.91,0.41,0.37,2025-08-04,403,N20,VIIRS,n,2,298.48,2.76,D,0.0
-3.91194,140.5204,328.3,0.38,0.36,2025-08-04,403,N20,VIIRS,n,2,297.92,2.08,D,0.0
-4.20472,140.33372,331.27,0.39,0.36,2025-08-04,403,N20,VIIRS,n,2,297.57,2.16,D,0.0
-3.9892,139.9415,330.59,0.39,0.36,2025-08-04,403,N20,VIIRS,n,2,298.19,2.39,D,0.0
-2.63574,140.74583,332.96,0.38,0.36,2025-08-04,404,N20,VIIRS,n,2,296.94,3.17,D,0.0
-9.65603,119.14817,342.07,0.43,0.38,2025-08-04,543,N20,VIIRS,n,2,301.69,4.0,D,0.0
-9.58899,119.5401,332.67,0.45,0.39,2025-08-04,543,N20,VIIRS,n,2,298.7,4.45,D,0.0
-9.6487,119.12676,345.81,0.43,0.38,2025-08-04,543,N20,VIIRS,n,2,301.9,8.87,D,0.0
-9.63246,119.20499,344.0,0.44,0.38,2025-08-04,543,N20,VIIRS,n,2,299.63,8.46,D,0.0
-9.63087,119.14812,336.95,0.43,0.38,2025-08-04,543,N20,VIIRS,n,2,301.29,4.05,D,0.0
-9.6315,119.14418,337.37,0.43,0.38,2025-08-04,543,N20,VIIRS,n,2,301.76,6.29,D,0.0
-9.6303,119.14741,341.48,0.43,0.38,2025-08-04,543,N20,VIIRS,n,2,301.74,5.53,D,0.0
-9.63092,119.14347,337.55,0.43,0.38,2025-08-04,543,N20,VIIRS,n,2,302.0,6.41,D,0.0
-9.62887,119.11089,332.22,0.43,0.38,2025-08-04,543,N20,VIIRS,n,2,301.0,2.96,D,0.0
-9.52027,119.74998,341.79,0.46,0.39,2025-08-04,543,N20,VIIRS,n,2,298.17,10.48,D,0.0
-4.04898,140.08534,329.26,0.39,0.36,2025-08-04,403,N20,VIIRS,n,2,298.7,3.88,D,0.0
-4.04845,140.08881,331.2,0.39,0.36,2025-08-04,403,N20,VIIRS,n,2,297.36,3.88,D,0.0
-4.16076,139.70432,334.57,0.39,0.36,2025-08-04,403,N20,VIIRS,n,2,296.78,4.91,D,0.0
-3.99879,140.66426,334.78,0.38,0.36,2025-08-04,403,N20,VIIRS,n,2,295.23,2.02,D,0.0
-9.78721,119.77059,338.13,0.46,0.39,2025-08-04,543,N20,VIIRS,n,2,299.46,8.81,D,0.0
-4.80818,140.60526,331.3,0.38,0.36,2025-08-04,403,N20,VIIRS,n,2,295.01,4.5,D,0.0
-3.97688,138.94485,327.8,0.41,0.37,2025-08-04,403,N20,VIIRS,n,2,297.25,1.67,D,0.0
-3.99389,138.80869,340.57,0.41,0.37,2025-08-04,403,N20,VIIRS,n,2,300.25,4.59,D,0.0
-4.03202,138.2942,331.23,0.43,0.38,2025-08-04,403,N20,VIIRS,n,2,300.02,3.13,D,0.0
-4.02214,138.28891,329.65,0.43,0.38,2025-08-04,403,N20,VIIRS,n,2,295.6,2.08,D,0.0
-3.92079,138.94867,327.37,0.41,0.37,2025-08-04,403,N20,VIIRS,n,2,296.1,5.82,D,0.0
-8.2984,130.81697,329.8,0.49,0.65,2025-08-04,403,N20,VIIRS,n,2,293.45,5.47,D,0.0
-9.49964,119.78632,344.12,0.46,0.39,2025-08-04,543,N20,VIIRS,n,2,301.06,4.18,D,0.0
-3.91648,138.6725,326.4,0.42,0.37,2025-08-04,403,N20,VIIRS,n,2,298.81,2.26,D,0.0
-3.84743,138.78357,339.13,0.41,0.37,2025-08-04,403,N20,VIIRS,n,2,297.58,5.14,D,0.0
-4.0611,140.61026,331.18,0.38,0.36,2025-08-04,403,N20,VIIRS,n,2,294.62,3.14,D,0.0
-4.21465,140.20102,341.96,0.39,0.36,2025-08-04,403,N20,VIIRS,n,2,295.72,17.35,D,0.0
-4.1147,138.93542,328.52,0.41,0.37,2025-08-04,403,N20,VIIRS,n,2,301.55,2.02,D,0.0
-3.99724,139.50771,332.29,0.4,0.37,2025-08-04,403,N20,VIIRS,n,2,296.88,2.05,D,0.0
-3.72537,140.87878,344.31,0.38,0.36,2025-08-04,403,N20,VIIRS,n,2,296.96,5.22,D,0.0
-4.16657,139.86902,329.52,0.39,0.36,2025-08-04,403,N20,VIIRS,n,2,296.41,1.63,D,0.0
-8.29783,130.8215,331.7,0.49,0.65,2025-08-04,403,N20,VIIRS,n,2,292.69,5.47,D,0.0
-4.02351,137.88895,330.28,0.45,0.39,2025-08-04,403,N20,VIIRS,n,2,294.39,7.49,D,0.0
